term,soc,version,aliases,g1,g2,g3,g4,g5,definition,note,page
Tracheal mucositis,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,"Endoscopic findings only; minimal hemoptysis, pain, or respiratory symptoms",Moderate symptoms; medical intervention indicated; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Severe pain; hemorrhage or respiratory symptoms; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an inflammation or ulceration involving the mucous membrane of the trachea.,-,288
Tracheal stenosis,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,"Symptomatic (e.g., noisy airway breathing), no respiratory distress; medical intervention indicated (e.g., steroids); limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric)","Stridor or respiratory distress; invasive intervention indicated (e.g., stent, laser); limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric)","Life-threatening airway compromise; urgent intervention indicated (e.g., tracheotomy or intubation)",Death,A disorder characterized by a narrowing of the trachea.,-,289
Voice alteration,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Mild or intermittent change from normal voice,Moderate or persistent change from normal voice; still understandable,Severe voice changes including predominantly whispered speech; may require frequent repetition or face-to-face contact for understandability; may require assistive technology,-,-,A disorder characterized by a change in the sound and/or speed of the voice.,-,289
Alopecia,Skin and subcutaneous tissue disorders,CTCAE v6.0,,Hair loss of <50% of normal for that individual that is not obvious from a distance but only on close inspection; a different hair style may be required to cover the hair loss but it does not require a wig or hair piece to camouflage,Hair loss of ≥50% normal for that individual that is readily apparent to others; a wig or hair piece is necessary if the patient desires to completely camouflage the hair loss; associated with psychosocial impact,-,-,-,A disorder characterized by a decrease in density of hair compared to normal for a given individual at a given age and body location.,-,290
Body odor,Skin and subcutaneous tissue disorders,CTCAE v6.0,,Mild odor; physician intervention not indicated; self care interventions,Pronounced odor; psychosocial impact; patient seeks medical intervention,-,-,-,A disorder characterized by an abnormal body smell resulting from the growth of bacteria on the body.,-,290
Dermatitis psoriasiform,Skin and subcutaneous tissue disorders,CTCAE v6.0,,Present; topical intervention indicated,oral intervention indicated,IV intervention indicated,-,-,"A disorder characterized by large, red, rounded plaques covered with thicker scales.",-,290
Dermatosis bullous,Skin and subcutaneous tissue disorders,CTCAE v6.0,,Asymptomatic,Painful blisters; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Blisters covering >50% BSA; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),Blisters covering >75% BSA; associated with fluid or electrolyte abnormalities; ICU care or burn unit indicated,Death,A disorder characterized by inflammation of the skin characterized by the presence of bullae which are filled with fluid.,"If infectious, consider Infections and infestations: Rash pustular or other site-specific Infections and infestations term.",291
Dry skin,Skin and subcutaneous tissue disorders,CTCAE v6.0,,No associated erythema or pruritus,Associated with erythema or pruritus; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),-,-,-,"A disorder characterized by flaky and dull skin; the pores are generally fine, the texture is a papery thin texture.",-,291
Eczematous dermatitis,Skin and subcutaneous tissue disorders,CTCAE v6.0,,Present; topical intervention indicated,Oral intervention indicated,IV intervention indicated,-,-,"A disorder characterized by dry and itchy patches of skin involving the epidermis and superficial dermis and includes some scaling, crusting, or serous oozing.",-,291
Erythema multiforme,Skin and subcutaneous tissue disorders,CTCAE v6.0,,Not associated with skin tenderness,Associated with skin tenderness,Associated with oral or genital erosions,Associated with fluid or electrolyte abnormalities; ICU care or burn unit indicated,Death,A disorder characterized by target lesions (a pink-red ring around a pale center).,-,292
Erythroderma,Skin and subcutaneous tissue disorders,CTCAE v6.0,,-,Erythema covering >90% BSA without associated symptoms; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),"Erythema covering >90% BSA with associated symptoms (e.g., pruritus or tenderness); limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric)",Erythema covering >90% BSA with associated fluid or electrolyte abnormalities; ICU care or burn unit indicated,Death,A disorder characterized by generalized inflammatory erythema and exfoliation. The inflammatory process involves >90% of the body surface area.,-,292
Exfoliative dermatitis,Skin and subcutaneous tissue disorders,CTCAE v6.0,,Present; topical intervention indicated,oral intervention indicated,IV intervention indicated,Life-threatening consequences,Death,A disorder characterized by diffuse erythema and scaling involving > 90% of the body surface area.,-,292
Hair color changes,Skin and subcutaneous tissue disorders,CTCAE v6.0,,Present,-,-,-,-,A disorder characterized by change in hair color or loss of normal pigmentation.,-,292
Hair texture abnormal,Skin and subcutaneous tissue disorders,CTCAE v6.0,,Present,-,-,-,-,A disorder characterized by a change in the way the hair feels.,-,293
Hirsutism,Skin and subcutaneous tissue disorders,CTCAE v6.0,,"In women, increase in length, thickness or density of hair in a male distribution that the patient is able to camouflage by periodic shaving, bleaching, or removal of hair","In women, increase in length, thickness or density of hair in a male distribution that requires daily shaving or consistent destructive means of hair removal to camouflage; associated with psychosocial impact",-,-,-,"A disorder characterized by the presence of excess hair growth in women in anatomic sites where growth is considered to be a secondary male characteristic and under androgen control (beard, moustache, chest, abdomen).",-,293
Hyperhidrosis,Skin and subcutaneous tissue disorders,CTCAE v6.0,,"Limited to one site (palms, soles, or axillae); self care interventions",Involving >1 site; patient seeks medical intervention; associated with psychosocial impact,Associated with electrolyte/hemodynamic imbalance,-,-,A disorder characterized by excessive sweating.,"Synonym: Night sweats, diaphoresis.",293
Hyperkeratosis,Skin and subcutaneous tissue disorders,CTCAE v6.0,,Present,-,Limiting self-care ADLs or severe impact on age-appropriate normal daily activity (pediatric),-,-,A disorder characterized by a thickening of the outer layer of the skin.,-,294
Hypertrichosis,Skin and subcutaneous tissue disorders,CTCAE v6.0,,"Increase in length, thickness or density of hair that the patient is either able to camouflage by periodic shaving or removal of hairs or is not concerned enough about the overgrowth to use any form of hair removal","Increase in length, thickness or density of hair at least on the usual exposed areas of the body [face (not limited to beard/moustache area) plus/minus arms] that requires frequent shaving or use of destructive means of hair removal to camouflage; associated with psychosocial impact",-,-,-,"A disorder characterized by hair density or length beyond the accepted limits of normal in a particular body region, for a particular age or race.",-,294
Hypohidrosis,Skin and subcutaneous tissue disorders,CTCAE v6.0,,-,Symptomatic; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Increase in body temperature; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by reduced sweating.,-,295
Lichenoid dermatitis,Skin and subcutaneous tissue disorders,CTCAE v6.0,,Present; topical intervention indicated,oral intervention indicated,IV intervention indicated,-,-,"A disorder characterized by a symmetric eruption of flat-topped, red or purple papules on the trunk and extremities.",-,295
Nail changes,Skin and subcutaneous tissue disorders,CTCAE v6.0,,Present,-,-,-,-,A disorder characterized by a change in the nails.,-,295
Nail discoloration,Skin and subcutaneous tissue disorders,CTCAE v6.0,,Present,-,-,-,-,A disorder characterized by a change in the color of the nail plate.,-,295
Nail loss,Skin and subcutaneous tissue disorders,CTCAE v6.0,,Asymptomatic separation of the nail bed from the nail plate or nail loss,Symptomatic separation of the nail bed from the nail plate or nail loss; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),-,-,-,A disorder characterized by loss of all or a portion of the nail.,-,296
